year,cuenta,entidad,cop,entity_code,sector_code,indice,cop_def
2013,FUNCIONAMIENTO,DIRECCIÓN NACIONAL DE ESTUPEFACIENTES EN LIQUIDACIÓN,231492057800.0,1209,12,78.05,296594564766.17554
2013,INVERSION,DIRECCIÓN NACIONAL DE ESTUPEFACIENTES EN LIQUIDACIÓN,59808000000.0,1209,12,78.05,76627802690.58296
2013,FUNCIONAMIENTO,UNIDAD ADMINISTRATIVA ESPECIAL AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO,24839769682.0,1210,12,78.05,31825457632.286995
2013,INVERSION,UNIDAD ADMINISTRATIVA ESPECIAL AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO,1072000000.0,1210,12,78.05,1373478539.397822
2013,FUNCIONAMIENTO,UNIDAD DE SERVICIOS PENITENCIARIOS Y CARCELARIOS - USPEC,381636487014.0,1211,12,78.05,488964108922.4856
2013,INVERSION,UNIDAD DE SERVICIOS PENITENCIARIOS Y CARCELARIOS - USPEC,124900515028.0,1211,12,78.05,160026284468.93018
2013,FUNCIONAMIENTO,MINISTERIO DE HACIENDA Y CRÉDITO PÚBLICO,10196721395655.0,1301,13,78.05,13064345157789.879
2013,INVERSION,MINISTERIO DE HACIENDA Y CRÉDITO PÚBLICO,1281520325472.0,1301,13,78.05,1641922261975.6567
2013,FUNCIONAMIENTO,UNIDAD ADMINISTRATIVA ESPECIAL CONTADURÍA GENERAL DE LA NACIÓN,9968562438.0,1308,13,78.05,12772021060.858425
2013,INVERSION,UNIDAD ADMINISTRATIVA ESPECIAL CONTADURÍA GENERAL DE LA NACIÓN,8925290168.0,1308,13,78.05,11435349350.4164
2013,FUNCIONAMIENTO,SUPERINTENDENCIA DE LA ECONOMÍA SOLIDARIA,8003640406.0,1309,13,78.05,10254504043.56182
2013,INVERSION,SUPERINTENDENCIA DE LA ECONOMÍA SOLIDARIA,4041000000.0,1309,13,78.05,5177450352.338244
2013,FUNCIONAMIENTO,UNIDAD ADMINISTRATIVA ESPECIAL DIRECCIÓN DE IMPUESTOS Y ADUANAS NACIONALES,1003604100000.0,1310,13,78.05,1285847661755.2852
2013,INVERSION,UNIDAD ADMINISTRATIVA ESPECIAL DIRECCIÓN DE IMPUESTOS Y ADUANAS NACIONALES,393499045796.0,1310,13,78.05,504162774882.76746
2013,FUNCIONAMIENTO,UNIDAD DE INFORMACIÓN Y ANÁLISIS FINANCIERO,6676112721.0,1312,13,78.05,8553635773.222294
2013,FUNCIONAMIENTO,SUPERINTENDENCIA FINANCIERA DE COLOMBIA,165774000000.0,1313,13,78.05,212394618834.08072
2013,INVERSION,SUPERINTENDENCIA FINANCIERA DE COLOMBIA,14897359000.0,1313,13,78.05,19086942985.265858
2013,FUNCIONAMIENTO,UNIDAD ADMINISTRATIVA ESPECIAL DE GESTIÓN  PENSIONAL Y CONTRIBUCIONES PARAFISCALES DE LA PROTECCIÓN SOCIAL (UGPPP),167013000000.0,1314,13,78.05,213982062780.26907
2013,INVERSION,UNIDAD ADMINISTRATIVA ESPECIAL DE GESTIÓN  PENSIONAL Y CONTRIBUCIONES PARAFISCALES DE LA PROTECCIÓN SOCIAL (UGPPP),6450000000.0,1314,13,78.05,8263933376.040999
2013,FUNCIONAMIENTO,FONDO ADAPTACIÓN,20643000000.0,1315,13,78.05,26448430493.273544
2013,INVERSION,FONDO ADAPTACIÓN,1860000000000.0,1315,13,78.05,2383087764253.6836
2013,DEUDA,SERVICIO DE LA DEUDA PÚBLICA NACIONAL,45109198935564.0,1401,14,78.05,57795258085283.8
2013,FUNCIONAMIENTO,MINISTERIO DE DEFENSA NACIONAL,10273024534968.0,1501,15,78.05,13162107027505.445
2013,INVERSION,MINISTERIO DE DEFENSA NACIONAL,2372393000000.0,1501,15,78.05,3039581037796.2847
2013,FUNCIONAMIENTO,CAJA DE RETIRO DE LAS FUERZAS MILITARES,1755362257450.0,1503,15,78.05,2249022751377.3223
2013,INVERSION,CAJA DE RETIRO DE LAS FUERZAS MILITARES,9040000000.0,1503,15,78.05,11582319026.265215
2013,FUNCIONAMIENTO,INSTITUTO CASAS FISCALES DEL EJÉRCITO,20903385000.0,1507,15,78.05,26782043561.819347
2013,INVERSION,INSTITUTO CASAS FISCALES DEL EJÉRCITO,48316000000.0,1507,15,78.05,61903907751.44138
2013,FUNCIONAMIENTO,"DEFENSA CIVIL COLOMBIANA, GUILLERMO LEÓN VALENCIA",22393573000.0,1508,15,78.05,28691317104.420246
2013,INVERSION,"DEFENSA CIVIL COLOMBIANA, GUILLERMO LEÓN VALENCIA",1707000000.0,1508,15,78.05,2187059577.1941066
2013,FUNCIONAMIENTO,CLUB MILITAR DE OFICIALES,36746653072.0,1510,15,78.05,47080913609.22486
2013,FUNCIONAMIENTO,CAJA DE SUELDOS DE RETIRO DE LA POLICÍA NACIONAL,2161155900000.0,1511,15,78.05,2768937732222.934
2013,INVERSION,CAJA DE SUELDOS DE RETIRO DE LA POLICÍA NACIONAL,1950000000.0,1511,15,78.05,2498398462.524023
2013,FUNCIONAMIENTO,FONDO ROTATORIO DE LA POLICÍA,313287000000.0,1512,15,78.05,401392696989.10956
2013,INVERSION,FONDO ROTATORIO DE LA POLICÍA,8000000000.0,1512,15,78.05,10249839846.252403
2013,FUNCIONAMIENTO,SUPERINTENDENCIA DE VIGILANCIA Y SEGURIDAD PRIVADA,10150100000.0,1516,15,78.05,13004612427.930815
2013,INVERSION,SUPERINTENDENCIA DE VIGILANCIA Y SEGURIDAD PRIVADA,500000000.0,1516,15,78.05,640614990.3907752
2013,FUNCIONAMIENTO,HOSPITAL MILITAR,205925008000.0,1519,15,78.05,263837294042.2806
2013,INVERSION,HOSPITAL MILITAR,9197000000.0,1519,15,78.05,11783472133.24792
2013,FUNCIONAMIENTO,AGENCIA LOGÍSTICA DE LAS FUERZAS MILITARES,952944357669.0,1520,15,78.05,1220940881062.1396
2013,INVERSION,AGENCIA LOGÍSTICA DE LAS FUERZAS MILITARES,25800000000.0,1520,15,78.05,33055733504.163998
2013,FUNCIONAMIENTO,POLICÍA NACIONAL,6908123036777.0,1601,16,78.05,8850894345646.38
2013,INVERSION,POLICÍA NACIONAL,432087000000.0,1601,16,78.05,553602818705.9578
2013,FUNCIONAMIENTO,MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL,180864126000.0,1701,17,78.05,231728540679.0519
